game_id,season,week,home,away,neutral,fbs_both,total_pts,mkt_total,mkt_total_open,mkt_spread,proj_py_h,proj_ypa_h,proj_ry_h,proj_yrc_h,proj_py_a,proj_ypa_a,proj_ry_a,proj_yrc_a,tempo_h,tempo_a,exp_plays,proj_total_yards,off_ypa_h,def_ypa_h,off_ypc_h,def_ypc_h,off_ypa_a,def_ypa_a,off_ypc_a,def_ypc_a,prate_h,prate_a,pre_w_h,pre_w_a
400935282,2017,1,Colorado State,Oregon State,False,True,85.0,60.0,,-3.5,237.73999997223768,8.533879639713904,164.41900115799203,4.049746547979638,240.5400893303112,8.48368209211681,218.19011012496966,5.440480683002364,74.55190398533507,62.36449151430436,68.45819774981972,860.8892005855106,8.249715862854137,7.887952499447842,4.64160245266319,4.482080257011759,7.289197498095751,7.010792941577605,4.659675372771001,3.3493298557359106,0.4069399087565818,0.4141690295920648,0.0,0.0
400945031,2017,1,BYU,Portland State,False,False,26.0,60.0,,,300.2131403496823,10.066143408183125,236.20467771003393,6.0764185430638165,182.84055303607767,7.197826107132626,149.0598692144971,3.442951731924847,70.27209946302385,67.12069885580095,68.69639915941241,868.3182403102909,6.892200108934631,6.91470675165832,4.314735222352893,3.864987355882292,7.054840538893104,9.898396656178488,3.419643827395322,5.4061930288763325,0.4341428078380641,0.3697747078201097,0.0,0.0
400938887,2017,1,Massachusetts,Hawai'i,False,True,73.0,60.0,,-2.5,309.4291289452453,8.501580658550855,180.37051216565416,4.883818261706312,312.73895788869095,9.27050352058318,209.54211170944887,5.292257073315531,72.49441159149904,74.16345280892276,73.3289322002109,1012.0807107090393,6.640684785799178,8.630243378908363,3.754394141264591,4.9251907183946,7.280142799906788,8.676537171859163,4.124923489096013,4.993644813824712,0.4963478606088113,0.4600481626639301,0.0,0.0
400951507,2017,1,Jacksonville State,Chattanooga,True,False,40.0,,,,354.4738973379697,10.210987925584304,184.1811451902693,4.829971672294864,293.59092333695554,9.269675254804717,201.9077358718442,4.903562803034907,74.13136181868536,71.56446259494398,72.84791220681467,1034.1537017370385,7.71339967027526,9.092815866341274,4.33093382920522,4.325374973161273,6.909167817387622,8.971840536068976,4.351971039846147,4.281155998076454,0.476540030206071,0.4347714277858434,0.0,0.0
400950566,2017,1,Cal Poly,Colgate,False,False,34.0,,,,131.4291665142421,6.95098799263915,214.11067227094762,4.853800783114634,122.20901251351786,4.1949504855218915,106.57815362450914,3.1450546770727907,64.33232443112959,61.707565225065295,63.019944828097444,574.3270049232167,5.2322851262868495,7.303293564196802,3.331723952940421,5.341837354836748,3.892850265206565,9.00357018291174,2.260141122248676,5.592563888010526,0.3000317373524793,0.4622728391304601,0.0,0.0
400941786,2017,1,San José State,South Florida,False,True,64.0,69.5,,21.0,235.66197626044047,7.264574667244214,196.0497874565966,4.808021772037978,315.4476227986719,10.155265531839838,255.45208540885523,6.060119447402819,71.25892808586,75.17196752334505,73.21544780460252,1002.6114719245643,6.689673345351674,8.279603412918965,3.9951424460571583,4.717842373608303,8.31268582472603,7.359781114842635,4.931008775856161,4.619895741162148,0.4430743412468541,0.4242611379323941,0.0,0.0
400935257,2017,1,Rice,Stanford,True,True,69.0,51.25,,33.5,171.86454366451255,5.457924183469367,132.3496110921481,3.5036326232098958,256.53012893784353,9.510599150023534,274.09158671149356,6.481103123982492,69.88773400073833,68.64019115311837,69.26396257692835,834.8358704059979,5.7167445326529975,8.07407169070259,3.464522767176921,5.1544946056822,7.983161119975674,6.470507302292452,4.826817294235128,3.88215757890336,0.4546230558871181,0.3894244077421012,0.0,0.0
400938591,2017,1,UCF,Florida International,False,True,78.0,56.5,,-17.0,280.97835222395895,8.872776790204203,234.39859840132567,5.759938942300355,245.83109410906815,7.170281414336029,153.53309829705046,4.032134266766125,71.02814239405225,73.69605342804925,72.36209791105075,914.7411430314032,7.226980574664987,7.230709569301029,4.22300168090252,3.95660129974773,6.720706058508313,8.320746424718907,3.912106902179064,5.235939783535625,0.4376250321476789,0.4737938987050983,0.0,0.0
400937445,2017,1,Wake Forest,Presbyterian,False,False,58.0,,,-42.5,228.7496980356856,8.637898612817933,293.57420731459575,7.368256917795658,166.44735550375424,5.767869541193905,128.45284121991176,3.4283787218824644,70.74919171423757,61.90121176739064,66.32520174081411,817.2241020739474,7.381282137772547,7.02149198015749,4.458169543413844,4.109394569907044,5.567313057148522,7.9311454507931485,3.202646213098407,6.34462849979631,0.3992765897911406,0.4350937962826066,0.0,0.0
400951095,2017,1,Tennessee Tech,Western Illinois,False,False,55.0,,,,254.06856456775856,7.560672313742692,118.06027236369646,3.4579310297595494,316.05714097941654,9.588904880009752,177.50124734087413,5.102790471743353,65.12917863030704,70.36251403930024,67.74584633480364,865.6872252517456,5.221620513689114,9.031892548610566,2.472467155166082,5.712089783919327,7.195315912874028,9.813292144361116,3.429341448335051,5.368881439132844,0.4960298880234091,0.4865348165905493,0.0,0.0
400935230,2017,1,Minnesota,Buffalo,False,True,24.0,51.0,,-23.0,240.93156298331166,8.859233779840205,232.6754566253166,5.555776235742087,200.486905167546,6.375364905473618,136.745612211851,3.634113923321259,67.77181796782789,70.37908038943775,69.07544917863282,810.8395369880253,7.159779740711611,7.125698171639264,4.365791883131674,3.7103262120065015,6.063693527413463,8.386024332290514,3.7599707021712936,4.885170597048788,0.3937076179994469,0.45525764419749,0.0,0.0
