season,team,off_ypa,def_ypa,off_ypc,def_ypc,tempo,prate
2015,Wisconsin,7.281550743309973,5.846118959998705,3.953537053110748,2.9185708527895766,71.61538461538461,0.45141851350202
2015,Alabama,8.830802033326563,5.688289090368386,5.43545793237192,1.9789759322637865,72.53333333333333,0.4062759883575049
2015,Arkansas,10.123394642543206,7.781539685704879,4.97137564319588,3.3393384317973887,68.15384615384616,0.4144534649797385
2015,UTEP,5.069181203766024,9.820561377138121,3.3008823606356437,5.301822921906959,69.41666666666667,0.4602545922647023
2015,Louisville,8.218617255171866,6.660330168968189,4.589275857670048,2.6943451218106302,69.23076923076923,0.45773369231638866
2015,Auburn,8.242879200570469,5.270995970457847,4.81511315679843,3.9148190714332363,68.6923076923077,0.33990774418694314
2015,Florida,8.034855309651935,6.166430641149949,3.9020446564234126,2.810266179795373,65.35714285714286,0.4421976096141275
2015,New Mexico State,5.871021443580328,8.804179071404585,4.708946877832824,5.720754374054864,74.66666666666667,0.509507438346993
2015,UL Monroe,4.954507328444944,9.06380718931511,2.7082966652316234,4.02367874900444,69.38461538461539,0.5304028478701837
2015,Georgia,7.8562050945043325,6.43407695562017,5.546790237699193,3.485178645530347,62.53846153846154,0.4038158327907634
2015,Louisiana,5.763475682544346,8.400266942810704,3.9855827583442096,4.772670505257821,69.75,0.4567727307842348
2015,Kentucky,6.992075112182579,7.269374746590369,5.239433855006824,4.739429308705903,68.0,0.48263821865647
2015,Southeast Missouri State,4.3928695647710825,11.913350431501648,4.485065565414506,3.2121345428314054,64.0,0.34375
2015,Missouri,5.487509434658299,5.543457094264589,3.769417812157009,2.992969985867066,64.16666666666667,0.4932909532472442
2015,UT Martin,7.824602807755502,10.946080161247602,5.590439318363762,7.926721601291772,67.5,0.5415935030728709
2015,Ole Miss,9.357118307324425,5.895710610515167,5.212474995178683,2.9693679777435977,73.23076923076923,0.5130862257115326
2015,Southern Miss,8.293763850088897,7.087115126508066,4.3328370266401794,4.648698291683642,73.78571428571429,0.5137411337188652
2015,Mississippi State,8.780725342754485,5.953439719942476,4.575917067369045,3.9325258565404564,71.3076923076923,0.529360001038085
2015,Texas A&M,7.73029910294506,5.623816038091287,4.6162990127891375,4.530652133790539,75.92307692307692,0.49371787416750457
2015,Arizona State,7.795665844702923,7.844550310966328,4.204502121638234,3.1398617731779623,82.3076923076923,0.5003787269971871
2015,Western Kentucky,9.568291025572336,7.869641111486097,4.274921949582219,4.584606571767551,72.78571428571429,0.5383147166965657
2015,Vanderbilt,5.466322576834479,6.265254735000579,4.038663045921741,3.7163907144982624,72.58333333333333,0.42158005465556075
2015,North Carolina,9.067920330389702,5.931974161509653,6.360443544367163,4.710770718041517,66.85714285714286,0.43640089675281957
2015,South Carolina,7.990538073336293,7.941937871226894,4.572340248747394,4.368768981456005,64.5,0.45751476150039944
2015,Tennessee,7.7747504253978565,6.347870209468139,5.170666121789422,3.8087335158780715,76.0,0.37577032965363344
2015,Southern,4.758944948502234,11.589861138403503,3.561022133364575,6.685463507448659,63.0,0.4629817444219067
2015,UCF,5.025177128367162,8.687561177305637,2.2446313901871804,5.063378154267053,65.08333333333333,0.5432413238645156
2015,Syracuse,7.52234188674437,7.797781845071351,5.177322288254266,4.612469988344648,62.583333333333336,0.40664192111576125
2015,LSU,8.418277822026575,5.594547908443065,5.943630019126592,3.125047665477449,65.25,0.3485576701341581
2015,Texas Tech,8.474170880247623,7.506411814207167,5.462083660945746,5.770009107595246,83.38461538461539,0.570582834197319
2015,Northwestern State,7.916137227714003,20.80633586177231,3.484250019434249,7.9806527836076695,68.5,0.2338881775501494
2015,UConn,7.1059076631160565,6.502752350076547,3.479662301043095,4.590973104231586,63.0,0.4151538624490707
2015,Western Carolina,6.11619361988064,6.886750206138851,5.475630511879132,4.49281008275489,56.5,0.4672413793103448
2015,Nevada,6.121099219808105,7.264384668001156,4.319458066425657,4.6859580448704525,68.23076923076923,0.36914807975246344
2015,Austin Peay,5.034243102478715,8.986602789913176,1.6828154673110975,6.1716393315107645,64.0,0.3944281524926686
2015,Middle Tennessee,8.424006688919224,7.563015290503552,3.376565933454714,4.54074317911064,77.23076923076923,0.5029851013147026
2015,Toledo,7.505875203257198,6.918360966152421,4.880046486463205,3.330403844851098,75.25,0.4568358084127324
2015,Arkansas State,7.012359166592907,7.835928385608544,4.411074086823332,4.715209665321652,74.84615384615384,0.3747735093630456
2015,Jacksonville State,8.517404269828223,6.56488396283856,3.8162307119317007,3.831940295526211,89.0,0.48314606741573035
2015,East Carolina,7.586756012013603,6.818218106145392,3.4083128890621013,4.096623373042473,73.08333333333333,0.5334428834008185
2015,Fresno State,5.565146189037524,8.285344569577822,3.9478176017960536,5.025387778172361,68.83333333333333,0.4935957982573278
2015,Oklahoma,9.43829992947708,5.209943098927237,4.862567529224172,3.4730647373805494,77.92307692307692,0.434619245575416
2015,Ball State,6.134247476816586,8.698079949971179,3.8683639778030106,5.514070065267838,74.66666666666667,0.5110659300342625
2015,Houston,8.044497024640473,7.619365345036498,4.704189170694007,3.4749111366738092,78.64285714285714,0.3907007491332396
2015,San José State,6.739393004724435,6.775378527746437,4.392202181823704,4.835867935555415,70.92307692307692,0.430109515701818
2015,Eastern Kentucky,5.0004934533297964,8.353814477846685,2.413946998161708,1.8699853325810851,63.5,0.43140744797371305
2015,Eastern Michigan,6.6389604075429025,7.769989698872105,4.475408643998641,6.717350493742775,69.16666666666667,0.4930398252840655
2015,Memphis,8.762100765954882,8.014176359322905,3.841137189675901,3.355167861639672,79.07692307692308,0.4521000181245256
2015,Louisiana Tech,8.081466845980334,7.5081336213127505,3.9878796664070597,3.8926441778879064,70.0,0.5196539311060819
2015,Troy,6.970650184677112,8.72420239711244,3.778062944301223,4.066784923861123,66.58333333333333,0.5251914742169154
2015,Florida State,7.886486988103984,5.4503066872325725,5.422887245580365,3.4009853952790223,64.92307692307692,0.4971270452283089
2015,Georgia Tech,8.280861622630795,7.124635210665936,5.2018264360369715,4.157108757231236,64.58333333333333,0.24523034572047464
2015,Clemson,8.811220413025463,5.8129234120403535,5.283667692670668,2.914740654788605,80.46666666666667,0.4362051322189414
2015,Charleston Southern,4.636363812460619,8.104106606860531,4.604752631501279,4.6799959129092406,67.0,0.26778656126482214
2015,Idaho,6.848046614219544,8.542292806632174,3.5477094143397374,5.92446376274157,77.5,0.5102396404105907
2015,Florida Atlantic,6.245897542493405,7.885754018761261,3.4168238015003154,4.664958373858835,74.16666666666667,0.44094638242489576
2015,Georgia Southern,5.999133220546371,7.235195543330205,6.14882328488069,3.6335834269156018,66.53846153846153,0.16067186494350055
2015,Charlotte,4.979900574746699,7.040042240958215,3.041026542888506,5.237247514568635,78.08333333333333,0.40377771968603676
2015,The Citadel,8.601954054285741,7.339605538537474,6.017617795004545,4.260643605711849,63.0,0.08795362903225806
2015,North Texas,4.33518232442773,8.33196258285088,4.210399013669005,5.737006824592849,70.25,0.4814485581650407
2015,UTSA,6.231096851140339,8.7541743315225,3.393180723208335,4.624422855309817,72.5,0.40778767574707997
2015,Arizona,7.8421642099098205,7.891813277827984,4.917595277728464,4.576354833305106,76.3076923076923,0.4722741565755036
2015,Michigan,7.654859951660488,5.6085738072324975,4.487353849734367,3.011313317190473,69.6923076923077,0.4573357520009106
2015,Utah,6.828428549681139,6.593498667768425,4.3252177055652945,2.9492168590476187,71.0,0.38192754929605793
2015,USC,8.5259391040821,7.517105327942578,4.649018947134438,3.4688523218385865,70.71428571428571,0.470710702000523
2015,Eastern Washington,8.678858034343538,7.422629729420424,3.031528013167678,6.773082633684263,86.0,0.6395348837209303
2015,Oregon,9.735895427643369,6.544242538239488,5.97167819210561,4.758579538763141,76.38461538461539,0.37657973310038345
2015,Weber State,2.1272074081677155,6.045749654189266,2.638265935195327,4.410003636467695,54.0,0.6666666666666666
2015,Oregon State,6.2970579005469665,8.471363614664511,4.848638398712779,4.789010710119835,65.75,0.4375672437093206
2015,Boise State,7.466670587768665,7.748407132978025,3.988527748738179,3.041265949438141,83.0,0.48505357073374167
2015,Washington,7.672445111947372,6.375723748980503,4.483890875672376,3.065981621194287,67.15384615384616,0.4571743793461129
2015,Portland State,9.605012930811503,6.637984373789912,5.621632268099476,3.359957494407152,64.0,0.26176470588235295
2015,Washington State,6.824002660299394,5.925762010387827,3.4722929715150395,4.41123454571058,79.38461538461539,0.7156367580120797
2015,Grambling,5.498034137783798,7.458624744993604,3.896217271840836,4.101973579424889,63.0,0.47619047619047616
2015,California,9.454475750837116,7.413080958679243,4.881477610470756,4.143148123786586,76.07692307692308,0.5562179524989602
2015,Northwestern,5.4141670311806065,5.752241207211768,4.219004649983524,3.2005702854941207,73.23076923076923,0.37932636065993997
2015,Stanford,9.951621432165012,6.9694442317101775,5.2241495566217635,4.057395725964015,66.28571428571429,0.33840366177518755
2015,Cal Poly,5.150302232431818,7.615753763677666,5.054355376768573,5.53569159187816,79.0,0.10126582278481013
2015,Duke,6.366942877411504,7.663648537173878,4.79890441235455,3.7249041093979565,79.46153846153847,0.49453671117592024
2015,Tulane,5.39351277294723,8.810006788751101,3.1614790410717704,4.015616835062756,66.66666666666667,0.5062073370833283
2015,Alcorn State,4.014209486673897,14.541143813064668,4.339309586936453,8.247462541018724,67.0,0.417910447761194
2015,Wake Forest,6.767325349948014,8.241560673145612,3.2361742923908032,3.770467636483046,69.5,0.4987535984301023
2015,Elon,2.6696357401323882,10.372387796824341,3.1512376821879413,5.915504677781855,47.0,0.5957446808510638
2015,Boston College,5.175978621828647,6.004569591104075,3.8587806723873825,2.205439108507019,62.583333333333336,0.33317262805850983
2015,Maine,4.02281217316124,9.862948112501467,2.763970692659775,5.301979109492147,60.0,0.5635240011497556
2015,Wofford,8.717177091311598,8.657246956524695,4.88402425985837,4.733475979453562,56.5,0.20285714285714285
2015,Texas State,5.5616806075530505,9.752055547542085,4.391299571462068,5.864032321286413,75.08333333333333,0.47369970347346335
2015,Bethune-Cookman,3.4464900378482946,4.499190655218626,0.7555982526903886,8.356426762157726,46.0,0.2391304347826087
2015,Miami,8.85176209340913,6.29173904568755,3.42836883115741,5.0166545547253385,67.07692307692308,0.5144995267886839
2015,NC State,7.153628640337009,6.952627157663134,5.303612127333515,4.002874885732772,73.3076923076923,0.4374576272760161
2015,Pittsburgh,7.725189993944312,6.637987872225636,4.933516589051242,3.577459906721141,65.61538461538461,0.40582778141045617
2015,Youngstown State,7.658345212220415,7.093786162755265,4.970660228094287,6.927723065467651,70.0,0.5714285714285714
2015,Rhode Island,2.589951755991935,5.627892456958369,-0.15418110429132453,4.532794560544987,40.0,0.5
2015,Virginia,7.213489041081591,7.805063385794181,4.26145355540197,3.9479735911381337,69.75,0.49274768146745423
2015,UCLA,7.407105474449372,5.448155725301195,5.046784635177897,4.041925933347732,74.53846153846153,0.5282828762431945
2015,Virginia Tech,7.801783932273039,7.289969419307666,3.724490632016254,4.530836297592379,72.23076923076923,0.4185218188584088
2015,Ohio State,7.787839729490604,5.858780657935384,5.8842672146624295,3.027057193078492,68.61538461538461,0.3640289333256161
2015,Howard,3.933350662414345,10.37157408415788,2.0724639702966874,7.4927766052626055,46.5,0.36698113207547167
2015,App State,8.127151824975467,7.2021420906646645,5.305996514763516,3.648699676002548,69.38461538461539,0.3292496277130554
2015,North Carolina Central,4.1537010155657,11.469983828159457,1.5775837675837612,5.618675543245298,57.5,0.5640133171912833
2015,North Carolina A&T,6.828433605646572,7.539228539048698,3.3072391096488003,2.8243661914599825,63.0,0.3492063492063492
2015,Akron,6.621372338558733,7.023115383327793,3.4518405817795466,3.2804567551256505,69.61538461538461,0.41276432883938885
2015,Notre Dame,9.285391838565587,6.147635636861869,6.185142691338912,4.149565767651413,66.46153846153847,0.44600033931361843
2015,Furman,5.204381112454881,7.158305306253535,2.1132880372527123,7.003721161239705,62.5,0.4526505404014411
2015,Nebraska,8.324145372579178,7.474462218187447,4.850191315569846,3.8388625291485194,73.38461538461539,0.47614110496440865
2015,Illinois,6.247416070291204,6.059268075427863,4.210906462640743,4.168709676228476,75.58333333333333,0.577550137812478
2015,Old Dominion,5.38311553499059,7.979050820356448,3.5394718964677803,5.071953748350765,69.5,0.5240443467141456
2015,Iowa,8.22631694250107,6.781696661776144,4.551538640456458,3.3890253392389815,66.92857142857143,0.3949423374445179
2015,Central Michigan,7.981770375874197,7.121338908723333,3.0795271237543025,4.251243584912806,70.38461538461539,0.5418238498079764
2015,William & Mary,5.645623074356689,11.64531260685938,3.9971492653604885,3.8242116953622203,76.0,0.4868421052631579
2015,Purdue,6.18881780236831,7.772016910928663,3.946391658966487,5.127123426722658,76.75,0.5449470422662962
2015,Army,12.511711014878708,8.550455605020934,4.380877188112533,4.826785689046815,60.333333333333336,0.14951811282997965
2015,Northern Illinois,7.088909061071308,6.551841454054842,3.7841231205641175,4.072230356964218,74.78571428571429,0.3904199874101134
2015,Samford,5.062755440010948,9.00418669162472,4.179767375362319,5.990107534958668,57.0,0.5263157894736842
2015,Delaware,3.864797242010209,9.778285778105936,5.22062885579116,3.395145412239203,59.0,0.1694915254237288
2015,South Alabama,6.3229403670193385,7.18109164595035,3.43488356594543,5.18185416660813,69.41666666666667,0.4259547067863034
2015,Indiana,8.070323102566352,7.290469624276696,4.875287869229246,4.986455452410691,81.0,0.4436666358741489
2015,South Florida,8.31300894978372,6.4500729463984365,5.228009630568115,3.718632053759827,68.6923076923077,0.34077991743749825
2015,Chattanooga,6.611071628646404,9.734666709856699,5.081074386456413,4.108945735123947,62.0,0.3709677419354839
2015,UNLV,6.890535832895721,7.8913183926270145,4.210080731797482,5.756500515707596,72.08333333333333,0.4183055107491376
2015,Colorado,6.614334087245689,6.609570683745933,3.23059457826288,4.828682274724004,77.46153846153847,0.46394326129081054
2015,Massachusetts,6.276849547632331,7.627985111819302,3.8622633818838317,4.378883886144432,73.91666666666667,0.556706450150358
2015,Michigan State,7.624553509237544,7.019521208658804,4.113322417422415,2.922256652828654,70.85714285714286,0.4377552424106278
2015,Sacramento State,6.18979258734892,12.661427759123317,1.566771404017581,5.805557676588746,64.0,0.59375
2015,Rutgers,7.587751179659144,10.127514205938388,4.495219203708814,4.83888954845628,67.16666666666667,0.4163652786853765
2015,San Diego State,8.537202305345255,6.6586709363131655,4.35453174504789,2.9284428586992943,66.21428571428571,0.2729497760741402
2015,Northern Arizona,9.813103378753228,6.976696302877646,1.3853014493719322,11.192582667255762,69.0,0.37681159420289856
2015,BYU,8.178193186133782,6.583544118721948,3.8550015418772214,3.786915459600029,70.53846153846153,0.5507097448069163
2015,Colorado State,7.090920824939376,7.571630404047131,4.56394966849001,5.25240297519833,71.23076923076923,0.4193871802146447
2015,Georgia State,8.262471058937752,6.988206542060202,2.4396384332997534,4.044946112100039,69.46153846153847,0.5574723962329557
