season,team,pre_off_ypa,pre_def_ypa,pre_off_ypc,pre_def_ypc,pre_tempo,pre_prate
2017,Florida State,8.984866263762997,6.014063155428068,5.189997602262819,3.510551194068787,73.37902669172865,0.45228940051484345
2017,Alabama,9.322278094472752,4.92453430318012,5.772554975375714,2.447914105861343,72.40391456803295,0.39929592364247535
2017,Florida A&M,7.045737281048679,10.531600225790154,3.127481025248283,6.737180084833053,65.01290206371667,0.4510441682942513
2017,Arkansas,8.115319152395045,7.47307545987003,4.441111414066145,4.474366305596394,72.46299103410996,0.44807207155550033
2017,Georgia Southern,6.455736733410021,7.770854095526225,3.9226429937907983,4.620755029443159,69.16837206861211,0.37418486351023084
2017,Auburn,8.391240339285677,5.84786557125381,5.263070475105035,3.2367779372031236,69.89809053974317,0.35741696473713014
2017,Michigan,8.939760389000206,5.898406890535874,5.115676381902005,3.25664907689867,71.20851950627461,0.3999646350417678
2017,Florida,8.225399888707853,6.5876888047743964,4.750631309639886,3.4132212459110733,68.99602949727395,0.44387040273622047
2017,App State,7.320647723380658,7.425999055913273,4.457588378087236,4.265778267494076,69.93707797557771,0.39875354136352237
2017,Georgia,8.217699425209402,5.736891007168113,4.886594887981397,3.733989271609617,69.46767422638521,0.4117121507002851
2017,Southern Miss,7.188673490326562,7.713089296103027,3.858322178804951,4.4614703334838595,70.995886741209,0.45525212424153366
2017,Kentucky,7.844567766881157,7.1688197999813195,4.759476969822416,4.535437604151831,72.7639365367318,0.3910547253478009
2017,LSU,8.858716627896712,5.664957320513889,5.5509076433517475,2.992135912816742,69.99370088888983,0.39472628376759566
2017,BYU,6.887598498436837,6.924347628999964,4.309005510093364,3.8651219194496607,70.30921436763795,0.4343792532063626
2017,South Alabama,6.6140770823933375,8.552518696330651,3.7753907838783975,4.96152975609972,70.6219571523748,0.45714647791613244
2017,Ole Miss,8.1038858315941,7.379704089647998,4.596690558717281,4.2641580554105385,73.00690518030575,0.516929220970048
2017,Charleston Southern,6.644780409663562,8.998957968881701,4.177275081236788,4.371332844032695,70.38631958889808,0.37730051253028196
2017,Mississippi State,7.80369901134591,6.351219963826841,4.823286701722236,4.301188988215167,72.15094585804749,0.4418028270974796
2017,Missouri,8.257808769916627,7.303926607313523,4.631164738102949,4.402440199285424,74.53748140329489,0.467826413386982
2017,Missouri State,3.9665819022685054,9.782448162203762,2.6000596799410327,6.834651937982546,56.99089866749249,0.4426566187979616
2017,NC State,8.01432039437124,7.058378275922287,4.6280765147679945,3.6570120462967073,72.06174530618993,0.4535811409234023
2017,South Carolina,7.686074117837715,7.113138803449104,4.463785019372051,4.145273192415302,70.5264125080251,0.44175942208435404
2017,Texas A&M,8.071792781301644,6.530608547133179,4.891485419387536,3.943740381408772,73.20775930463557,0.4769921259618251
2017,UCLA,7.8774743770577045,7.209533674736454,4.408129140145057,3.666546276926532,70.58878401860403,0.5223791312245888
2017,Middle Tennessee,7.85501007231063,8.206094579480695,4.416868557834929,4.595555954678689,77.0292050792008,0.5282258197074302
2017,Vanderbilt,7.584788333759974,7.325411040007559,4.524836623435243,4.155747744040931,71.19378484591309,0.4331763191889457
2017,Georgia Tech,8.563382340191767,7.680322699952135,5.11172503989277,4.129577780232333,70.76247901872674,0.2910538968232751
2017,Tennessee,8.236299717357605,6.976118588196571,4.871844993136964,4.1789610491831315,71.22304365316471,0.44255678187794384
2017,Fresno State,6.732302058798453,7.963477134622556,3.9196898969015805,4.5285469942420935,71.18380320130905,0.4507983289051755
2017,TCU,8.2540047877565,6.598551070554343,4.727122697277936,4.085351249637384,72.7859868678397,0.4857506198071121
2017,Clemson,8.73314193191479,6.565060939464864,4.921869589926138,3.400706925298212,73.20232812405249,0.5092765088144636
2017,Notre Dame,8.161408108394989,6.726189695243963,4.763428637385632,3.995421903366575,71.50964050559286,0.4737819872120475
2017,Eastern Kentucky,6.320278699766994,9.41361690584919,2.911514960577975,5.374930936393277,68.73595872326325,0.50862215313266
2017,Chattanooga,6.907585062181295,8.966328646084913,4.351795410579682,4.279472472984816,71.5538720083317,0.43463131528650606
2017,UT Martin,6.283125165826649,8.721210073026294,3.382274415762992,5.025874307438312,68.70121883378954,0.4382074953507002
2017,Louisiana Tech,7.211323168232759,8.856478296866968,3.969562764855732,4.615845714952927,75.03674756384247,0.5330144898931567
2017,Indiana State,6.755712580719994,9.643308808977764,3.357962271592612,5.506605882310157,68.66074415843629,0.4929088707135767
2017,Nicholls,4.945255226817768,8.4973839744014,3.2419973277533747,5.405958166096169,63.96172827635284,0.398769452008049
2017,Alabama A&M,5.088254874734159,9.505848287791009,2.8447099235983107,5.889417510420141,64.97279184640888,0.5265475888086305
2017,Colorado State,8.252369281320458,7.884013385625553,4.643886082414262,4.482331475094531,74.54704163583651,0.40691292976728594
2017,Mercer,7.033514121716397,9.685323575004315,3.469798810721663,5.196198795102842,71.83289790326108,0.5473581837789551
2017,Samford,6.260243453607684,7.8290177992772145,3.0685434393992033,4.2137036289358285,73.77007190952348,0.5801592461294399
